A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
Tamra,Thielscher,M,831,184-2394,MOJAVE,CA,93501,S,N,50000,9.3,87,0,0
Felex,Beylin,F,870,752-8726,WINSLOW,AR,72959,M,N,90000,7.0,0,40,0
Adina,Paludetto,F,870,291-5114,MONTICELLO,AR,71656,S,Y,15000,3.773037,20,0,20
Anish,Janowski,M,203,829-2025,HADDAM,CT,6438,S,Y,45000,5.0,12750,0,0
Kimio,Gardarin,F,630,427-3654,ROSEVILLE,IL,61473,S,Y,20000,3.0,2000,0,2000
Masatsugu,Quiles,M,206,164-4613,KENNEWICK,WA,99337,S,Y,55000,0.0,0,0,0
Zhijun,Vasconcelos,M,401,885-1230,FORESTDALE,RI,2824,M,N,5000,0.0,0,0,0
Samar,Steinauer,F,931,741-1044,MORRIS CHAPEL,TN,38361,S,N,80000,0.0,0,0,0
Sushil,Viele,M,848,601-8419,TOTOWA,NJ,7512,M,Y,85000,2.4251041,0,2000,1500
Nawaaz,Bergamini,F,219,572-1061,PERSHING,IN,47370,M,Y,75000,3.4,0,2000,1000
Felisa,Coggins,F,769,349-4941,SAUCIER,MS,39574,M,Y,35000,5.0,0,12000,1500
Yannik,Howkins,F,318,101-3592,NOBLE,LA,71462,S,Y,35000,6.0,4500,0,1000
Bharathi,Middeldorp,M,978,980-5773,BOXBOROUGH,MA,1719,S,N,60000,5.3,3575,0,0
Csaba,Galdes,M,440,629-7138,AKRON,OH,44312,M,Y,50000,2.2057693,0,2600,1300
Katarina,Barnhill,F,551,588-4847,PATERSON,NJ,7514,M,Y,75000,2.267396,0,2000,1500
Zhang,Stiliadis,F,860,291-3713,NORTHFIELD,CT,6778,M,Y,95000,5.0,0,24500,0
Pawan,Petry,F,401,449-6390,WARWICK,RI,2888,S,Y,10000,0.0,0,0,0
Mino,Brockmeyer,M,831,717-5936,DALY CITY,CA,94016,M,Y,50000,9.3,0,174,272
Tomi,Macskassy,F,636,236-1918,LAURIE,MO,65038,S,N,65000,6.0,2100,0,0
Raven,Kolaitis,M,862,822-4009,NEPTUNE,NJ,7753,S,N,5000,1.4,1000,0,0
Prakash,Beydoun,M,503,487-7053,FLORENCE,OR,97439,S,N,90000,9.0,159,0,0
Lijing,Herlihy,M,860,626-9197,NEW HAVEN,CT,6530,M,N,5000,3.0,0,24500,0
Yoshifumi,Talmon,F,207,100-8592,TOPSHAM,ME,4086,S,N,85000,8.5,2850,0,0
Ngoc,Hiyoshi,F,304,182-8665,THORPE,WV,24888,M,Y,5000,3.0,0,4000,2000
Zvi,Borgstrom,M,334,688-2486,MONTEVALLO,AL,35115,M,Y,40000,5.0,0,3000,300
Hrishikesh,Giacomo,M,605,367-4167,CONDE,SD,57434,M,N,40000,0.0,0,0,0
Olympia,Farrens,F,480,842-9598,SCOTTSDALE,AZ,85250,S,Y,70000,3.8,2100,0,2300
Constantine,Filipponi,F,260,958-6015,WESTVILLE,IN,46391,M,Y,40000,3.4,0,2000,1000
Sumeer,Lisonek,F,206,375-9873,SPRAGUE,WA,99032,M,Y,60000,0.0,0,0,0
Yiwei,Waldschmidt,M,304,812-8500,AUBURN,WV,26325,M,Y,85000,6.5,0,4000,2000
Quang,Antonisse,F,907,545-3105,ILIAMNA,AK,99606,S,N,100000,0.0,0,0,0
Shigetaka,Kruiskamp,M,406,332-2665,ENNIS,MT,59729,S,N,100000,6.9,1900,0,0
Errol,Sramek,F,520,542-6850,PARADISE VALLEY,AZ,85253,M,Y,60000,3645,0,4200,2300
Xingwei,Tanskanen,F,603,608-3604,ROCHESTER,NH,3866,M,N,60000,0.0,0,0,0
Jungho,Loganantharaj,F,540,916-6012,COLONIAL BEACH,VA,22443,M,N,75000,5.75,0,1800,0
Reriel,Nozaki,F,802,442-1229,MONTPELIER,VT,5620,M,Y,80000,4.5967627,0,6600,3300
Shuuji,Raffaeta,F,808,902-3988,NAALEHU,HI,96772,M,N,85000,8.25,0,2080,0
Anand,Perly,M,724,620-8022,NORTH VERSAILLES,PA,15137,M,Y,15000,3.07,0,0,0
Mihal,Weisert,M,505,113-8558,JARALES,NM,87023,S,N,25000,5.3,3300,0,0
Zhaofang,Stuckle,F,307,770-9068,FOUR CORNERS,WY,82715,S,Y,20000,0.0,0,0,0
Hidetsugu,Lung,M,812,639-3045,MONTICELLO,IN,47960,M,Y,55000,3.4,0,2000,1000
Dudley,Klupsz,F,302,939-8736,MIDDLETOWN,DE,19709,S,Y,90000,5.95,110,0,110
Ana,Ventura,M,307,721-6117,GILLETTE,WY,82716,M,Y,15000,0.0,0,0,0
Jeanleah,Murdock,F,216,879-9173,COLUMBUS,OH,43209,M,Y,50000,2.2057693,0,2600,1300
Yasusuke,Chaturvedi,M,505,129-1071,GLADSTONE,NM,88422,S,N,65000,5.3,3300,0,0
Shue,Emmert,M,601,376-5771,MCCOMB,MS,39648,S,N,60000,5.0,6000,0,0
Yukio,Klevans,F,304,505-6903,LE ROY,WV,25252,M,Y,60000,6.5,0,4000,2000
Radomir,Woerkom,F,505,854-7592,CEBOLLA,NM,87518,M,Y,100000,5.3,0,6600,3300
Lenhart,Dragt,M,530,856-3338,BERKELEY,CA,94720,S,N,70000,9.3,87,0,0
Sven,Bordawekar,F,430,550-3016,KATY,TX,77493,S,Y,50000,0.0,0,0,0
Songjie,Goodenday,F,410,270-6811,UNION BRIDGE,MD,21791,M,Y,80000,4.75,0,4800,2400
Lov,Swenker,M,757,313-7902,HENRICO,VA,23242,S,N,10000,3875,900,0,0
Lory,Nagafuji,M,252,662-9582,CREEDMOOR,NC,27522,M,N,70000,7.201049,0,6600,0
Hiroyuki,Grobel,M,304,352-5356,MORGANTOWN,WV,26506,S,Y,50000,5.8,2000,0,2000
Xiaocong,Kirtane,F,859,481-3263,ELIZABETHTOWN,KY,42701,M,Y,100000,6.0,0,40,20
Gaetano,Sabbagh,F,219,639-7972,FAIRLAND,IN,46126,S,N,20000,3.4,1000,0,0
Shan,Glanzel,M,208,243-8589,TETON,ID,83451,M,N,15000,5.529042,0,6600,0
Bredan,Skatulla,F,970,620-5419,FORT COLLINS,CO,80526,S,Y,60000,4.63,0,0,0
Hoong,Kawagoe,M,843,513-2182,KINARDS,SC,29355,M,Y,50000,7.0,0,6600,3300
Partick,Miles,M,205,490-7298,HUNTSVILLE,AL,35809,S,N,65000,5.0,1500,0,0
Gugjon,Dahl,M,302,954-8293,FENWICK ISLAND,DE,19944,M,Y,20000,3.2227273,0,220,110
Yoshizumi,Loewenstein,M,207,552-7554,MATTAWAMKEAG,ME,4459,M,N,65000,8.5,0,5700,0
Ramsey,Domajnko,F,515,601-5434,SEYMOUR,IA,52590,S,N,10000,1.7078737,40,0,0
Friedbert,Tuecke,F,769,897-9121,CRENSHAW,MS,38621,S,N,40000,5.0,6000,0,0
Gro,Thoresen,M,912,543-5884,RANGER,GA,30734,S,Y,30000,6.0,2700,0,3000
Christi,Campagnoni,M,423,538-7454,HUNTLAND,TN,37345,S,Y,90000,0.0,0,0,0
Guijun,Arnette,F,601,191-2402,SARAH,MS,38665,M,Y,85000,5.0,0,12000,1500
Ellen,Weydert,F,601,666-2120,BURNSVILLE,MS,38833,M,Y,65000,5.0,0,12000,1500
Arcot,Theel,F,401,713-9382,WEST KINGSTON,RI,2892,S,N,55000,0.0,0,0,0
Soojung,Abdat,M,901,756-7386,UNION CITY,TN,38261,S,N,35000,0.0,0,0,0
Satyanarayana,Kuiper,F,863,920-1949,DELRAY BEACH,FL,33445,M,N,50000,0.0,0,0,0
Paritosh,Wyckoff,F,262,908-3128,CLEAR LAKE,WI,54005,M,N,45000,5.228285,0,1400,0
Arunachalam,VanScheik,F,201,844-7375,AUGUSTA,NJ,7822,M,Y,30000,1.5577083,0,2000,1500
Ikuo,Brookner,M,603,211-6933,PITTSFIELD,NH,3263,S,N,65000,0.0,0,0,0
Talia,Seung,F,330,589-1614,HIGGINSPORT,OH,45131,S,Y,70000,2.8696666,1300,0,1300
Yiya,Fuhrman,F,605,157-6556,NEW EFFINGTON,SD,57255,S,Y,30000,0.0,0,0,0
Boyko,Laurinolli,M,401,713-9711,CLAYVILLE,RI,2815,S,Y,85000,0.0,0,0,0
Gen,Rappoport,M,708,338-5771,VERNON HILLS,IL,60061,S,N,70000,3.0,2000,0,0
Hoichi,Hassin,M,307,845-6637,CARPENTER,WY,82054,M,N,25000,0.0,0,0,0
Vencenzo,Wesley,M,805,663-8397,LA JOLLA,CA,92092,M,N,50000,9.3,0,174,0
Jiankun,Bronne,M,808,848-2070,MILILANI,HI,96789,M,N,85000,8.25,0,2080,0
Iabelle,Sambasivam,F,848,370-6269,CHERRY HILL,NJ,8003,S,N,80000,2.34625,1000,0,0
Ciprian,Siems,M,302,232-9076,DOVER,DE,19905,M,N,15000,2.8818183,0,220,0
Yigal,Conti,M,808,378-4032,KAPOLEI,HI,96709,S,N,80000,8.25,1040,0,0
Shunji,Shimasaki,M,302,277-3292,LEWES,DE,19958,M,Y,95000,5.95,0,220,110
Bir,Kerchoff,F,614,489-1168,VALLEY CITY,OH,44280,S,N,60000,2.537718,1300,0,0
Henke,Lafora,F,206,330-7679,BICKLETON,WA,99322,S,Y,35000,0.0,0,0,0
Lihong,McAllester,F,707,682-5022,HAWAIIAN GARDENS,CA,90716,S,N,5000,1.0,87,0,0
Saumya,Welker,M,228,560-4829,COFFEEVILLE,MS,38922,S,N,60000,5.0,6000,0,0
Donall,Feigelson,F,202,813-7370,WASHINGTON,DC,20098,S,N,95000,9.0,1370,0,0
Vijayaraghavan,Veeraraghavan,F,469,618-4439,CORPUS CHRISTI,TX,78404,S,Y,65000,0.0,0,0,0
Warwick,Khatri,F,573,785-8805,NEW LONDON,MO,63459,M,Y,60000,6.0,0,4200,1200
Fethi,Standera,F,256,101-3817,GEORGIANA,AL,36033,S,Y,50000,5.0,1500,0,300
Randi,Favero,M,970,221-4568,MESA,CO,81643,S,Y,50000,4.63,0,0,0
Helnye,Cucka,M,507,549-6430,WATERVILLE,MN,56096,M,N,75000,7.85,0,6600,0
Gustovo,Baldoni,F,409,747-2320,VICTORIA,TX,77905,M,N,35000,0.0,0,0,0
Kongshi,Deemter,F,754,824-6029,DAYTONA BEACH,FL,32114,S,Y,60000,0.0,0,0,0
Niclas,Jungen,F,808,196-9513,HANALEI,HI,96714,S,N,100000,8.25,1040,0,0
Anoop,Weston,F,925,903-9737,LOS ANGELES,CA,90079,S,Y,60000,9.3,87,0,272
Margita,Dowden,M,419,900-4155,NEW WASHINGTON,OH,44854,S,Y,90000,3.533564,1300,0,1300
Vidya,Weistroffer,F,612,377-4606,DETROIT LAKES,MN,56502,M,N,15000,5.35,0,6600,0
Rei,Rayne,M,701,588-5797,LANSFORD,ND,58750,S,Y,40000,2.2194002,3300,0,3300
Baiju,Chitil,F,606,699-4410,LOUISVILLE,KY,40272,S,Y,75000,6.0,20,0,20
Hyungjeong,Landvogt,F,720,979-3978,DENVER,CO,80205,M,Y,85000,4.63,0,0,0
Qin,Leunen,F,617,616-9886,FITCHBURG,MA,1420,S,N,15000,5.3,3575,0,0
Barinderpal,Kirani,F,404,609-9593,KENNESAW,GA,30144,S,N,85000,6.0,2700,0,0
Krystyna,Ishai,F,208,348-5724,MEDIMONT,ID,83842,S,Y,80000,7.8,3300,0,3300
Djelloul,Iida,F,262,401-4406,GLEN FLORA,WI,54526,S,N,45000,5.228285,700,0,0
Atsuo,Gaubert,M,270,619-5143,MC DANIELS,KY,40152,S,Y,80000,6.0,20,0,20
Dhaval,Littlefield,F,308,213-6192,DUNCAN,NE,68634,M,Y,20000,5.685643,0,206,103
Pandu,Martella,M,260,474-6143,GOODLAND,IN,47948,S,Y,10000,3.4,1000,0,1000
Baoan,Swist,M,580,672-3564,OKLAHOMA CITY,OK,73162,S,Y,100000,6.25,1000,0,1000
Andra,Bayraktar,F,202,192-2765,WASHINGTON,DC,20314,S,N,45000,9.0,1370,0,0
Jaume,Shippy,M,803,925-9817,ANDERSON,SC,29621,S,Y,20000,7.0,3300,0,3300
Barton,Brodner,M,603,517-9366,BARNSTEAD,NH,3218,M,Y,20000,0.0,0,0,0
Kiyoharu,Barkley,M,320,355-4175,MILAN,MN,56262,M,N,35000,6.1232123,0,6600,0
Seyit,Cassel,F,985,919-5173,OAK RIDGE,LA,71264,M,Y,20000,4.4,0,9000,1000
Moni,Spuler,F,605,235-7060,TUTHILL,SD,57574,M,N,90000,0.0,0,0,0
Anya,Kading,F,401,745-9255,EAST GREENWICH,RI,2818,S,Y,85000,0.0,0,0,0
Sreenivas,Conheeney,M,912,175-5449,COHUTTA,GA,30710,M,N,95000,6.0,0,5400,0
Layman,Bhuyan,M,816,462-7199,JOPLIN,MO,64801,M,Y,55000,6.0,0,4200,1200
Bir,Gradek,F,315,111-7003,NORTH TONAWANDA,NY,14120,M,N,75000,4.3881097,0,0,0
Oksana,Vanherpe,F,775,441-7641,ELKO,NV,89802,S,N,5000,0.0,0,0,0
Ganesan,Budimac,M,708,398-6650,CHESTER,IL,62233,S,N,70000,3.0,2000,0,0
Morgan,Pietra,M,208,566-9992,SWAN VALLEY,ID,83449,M,Y,60000,7.8,0,6600,3300
Xianlong,Uehara,F,973,507-8929,FAIRTON,NJ,8320,M,N,85000,2.4251041,0,2000,0
Nimar,Kahale,F,505,768-1872,KIRTLAND AFB,NM,87117,M,Y,35000,5.3,0,6600,3300
Gaetano,Candan,F,906,119-4086,ARGYLE,MI,48410,M,N,5000,3.9,0,6200,0
Meenakshi,Pedrotti,F,406,364-3022,MISSOULA,MT,59801,S,N,5000,2.3732758,1900,0,0
Atsuo,Gomatam,M,808,880-1391,LAHAINA,HI,96767,S,N,10000,2.8421054,1040,0,0
Yoneo,Flank,M,913,227-6991,LEON,KS,67074,M,N,45000,6.45,0,4500,0
Mahadev,Papadias,M,509,533-7478,LANGLEY,WA,98260,M,N,45000,0.0,0,0,0
Mart,Wenban,M,207,705-2347,STRATTON,ME,4982,M,N,65000,8.5,0,5700,0
Sabyasachi,Pinkston,F,803,674-2699,GARNETT,SC,29922,S,Y,20000,7.0,3300,0,3300
Topher,Etoh,M,302,533-6651,NEWARK,DE,19702,M,Y,80000,5.95,0,220,110
Teageun,Nourani,F,207,304-9249,SABATTUS,ME,4280,M,Y,5000,2.2135036,0,5700,2850
Samira,Schmill,M,502,183-8073,MURRAY,KY,42071,M,N,70000,5.7222223,0,40,0
Edin,Dangedej,M,307,247-6691,LOVELL,WY,82431,S,N,5000,0.0,0,0,0
Akimou,Rebaine,F,808,720-1455,LAIE,HI,96762,S,Y,95000,8.25,1040,0,1040
Bienvenido,Oelmann,M,513,770-1867,EAST SPRINGFIELD,OH,43925,M,N,45000,2.039795,0,2600,0
Hiromichi,Sreerama,F,503,749-7914,TURNER,OR,97392,S,Y,20000,9.0,159,0,159
Iwao,Pimm,F,479,594-1556,LAKE VILLAGE,AR,71653,S,N,70000,7.0,20,0,0
Majid,Ackley,F,970,605-3953,COLORADO SPRINGS,CO,80915,S,Y,80000,4.63,0,0,0
Gang,Lahner,M,585,914-1386,PUTNAM VALLEY,NY,10579,S,N,65000,4.330183,0,0,0
Qiwen,Rengarajan,M,307,441-2144,LONETREE,WY,82936,S,N,40000,0.0,0,0,0
Agenor,Luby,F,509,784-7547,TUMTUM,WA,99034,S,N,60000,0.0,0,0,0
Jega,Beyers,F,740,702-9984,HOYTVILLE,OH,43529,S,N,40000,1.8738205,1300,0,0
Julian,Apperley,M,939,573-2992,SAN JUAN,PR,929,M,Y,50000,0.0,0,0,0
Jianhua,Zodik,F,505,942-7026,KENNA,NM,88122,S,N,95000,5.3,3300,0,0
Serhan,Lovett,M,860,331-1336,TRUMBULL,CT,6611,M,N,75000,5.0,0,24500,0
Jiyu,Vrckovnik,F,401,280-5016,PEACE DALE,RI,2883,M,Y,95000,0.0,0,0,0
Ruddy,Heiner,M,503,648-5534,TROUTDALE,OR,97060,M,Y,50000,9.0,0,318,159
Hakjong,Cui,F,620,590-4419,TOPEKA,KS,66637,S,N,40000,6.45,2250,0,0
Evaggelia,Dustdar,M,907,735-7281,HOONAH,AK,99829,S,Y,85000,0.0,0,0,0
Iordana,Baumker,M,907,453-6278,BIG LAKE,AK,99652,S,N,5000,0.0,0,0,0
Neelam,Kawagoe,M,501,345-9395,GREENWAY,AR,72430,S,Y,20000,4.9682083,20,0,20
Nanda,Ciardo,F,248,785-8033,DEARBORN,MI,48120,M,Y,75000,3.9,0,6200,3100
Eija,Rijckaert,M,615,716-3377,MARYVILLE,TN,37803,S,N,50000,0.0,0,0,0
Sajid,Rajkumar,F,808,979-7993,HONOLULU,HI,96814,M,N,85000,8.25,0,2080,0
Sreenath,Krablin,M,787,455-6129,SAN JUAN,PR,908,M,N,65000,0.0,0,0,0
Miki,Lindberg,M,574,735-3175,FORT WAYNE,IN,46858,S,Y,30000,3.4,1000,0,1000
Kwangsub,Pequeno,M,503,455-2255,GOVERNMENT CAMP,OR,97028,M,N,30000,9.0,0,318,0
Idoia,Sauder,F,351,344-1616,WINCHENDON SPRINGS,MA,1477,M,Y,15000,5.3,0,7150,1000
Liliana,Kochskamper,M,505,611-8776,CAPROCK,NM,88213,M,Y,50000,5.3,0,6600,3300
Vaagan,Herlea,F,989,301-3189,REMUS,MI,49340,S,Y,30000,3.9,3100,0,3100
Alexius,Nassif,F,860,333-1486,HARTFORD,CT,6176,S,N,25000,5.0,12750,0,0
Romas,Sandoe,M,630,610-1329,DOWELL,IL,62927,S,Y,10000,3.0,2000,0,2000
Shafeek,Serbanati,M,307,819-5193,LEITER,WY,82837,M,N,80000,0.0,0,0,0
Dayun,Gihr,F,678,101-9390,ATLANTA,GA,31120,S,Y,10000,6.0,2700,0,3000
Magy,Lobelle,M,402,152-8487,LONG PINE,NE,69217,S,N,50000,6.84,103,0,0
Jeretta,Reutov,F,202,840-6350,WASHINGTON,DC,20240,S,Y,15000,5625,1370,0,1370
Willi,Fadgyas,F,785,707-7429,TAMPA,KS,67483,M,Y,85000,6.45,0,4500,2250
Kokichi,Jumpertz,F,202,657-8626,WASHINGTON,DC,20040,S,Y,95000,9.0,1370,0,1370
Navdeep,Heinle,F,901,440-7545,MEMPHIS,TN,38188,M,N,70000,0.0,0,0,0
Sanzheng,Simutis,M,920,732-1036,BLACK RIVER FALLS,WI,54615,M,Y,100000,6.183918,0,1400,400
Inbal,Monderer,M,304,264-7606,POINTS,WV,25437,S,Y,40000,5.1000004,2000,0,2000
Wissal,Katsaggelos,F,862,205-3635,TUCKERTON,NJ,8087,S,N,80000,2.34625,1000,0,0
Yojiro,Cochrane,F,202,871-8230,WASHINGTON,DC,20226,M,Y,75000,9.0,0,2740,1370
Dayanand,Ilie,M,307,647-3023,WHEATLAND,WY,82201,M,Y,25000,0.0,0,0,0
Ramaswami,Cox,F,503,532-8825,DEXTER,OR,97431,M,Y,10000,9.0,0,318,159
Laurie,Usas,M,601,545-8293,TOCCOPOLA,MS,38874,S,Y,40000,5.0,6000,0,1500
Liuba,Miculan,F,303,515-1605,DUPONT,CO,80024,S,N,95000,4.63,0,0,0
Cecile,Sanabria,F,202,869-4750,WASHINGTON,DC,20013,M,Y,65000,9.0,0,2740,1370
Fedor,Mackey,M,808,318-7072,KAUNAKAKAI,HI,96748,M,N,15000,3.743421,0,2080,0
Opher,Lafond,F,980,906-4990,BARNARDSVILLE,NC,28709,M,Y,65000,7.0961537,0,6600,3300
LiWu,Brownfield,M,808,558-3482,EWA BEACH,HI,96706,M,N,90000,8.25,0,2080,0
Salil,Clo,M,401,733-4916,BLOCK ISLAND,RI,2807,S,Y,60000,0.0,0,0,0
Magid,Calisti,F,603,266-7152,SUGAR HILL,NH,3586,M,N,100000,0.0,0,0,0
Eran,Schappert,F,406,536-4997,CARDWELL,MT,59721,M,Y,60000,6.9,0,3800,1900
Yonghuai,Anson,M,603,914-9601,DERRY,NH,3038,M,N,100000,0.0,0,0,0
Grigore,Prieditis,F,907,268-9092,CHEFORNAK,AK,99561,M,Y,65000,0.0,0,0,0
Carin,Ghelli,F,318,709-7636,KELLY,LA,71441,M,N,85000,6.0,0,9000,0
Juzhen,Sssuwa,F,406,478-3473,CAMERON,MT,59720,M,N,50000,6.9,0,3800,0
Seiichi,Chi,M,228,360-3494,ARCOLA,MS,38722,S,N,40000,5.0,6000,0,0
Soheil,Lakhani,M,775,452-8989,LAS VEGAS,NV,89178,M,Y,45000,0.0,0,0,0
Nayyer,Baur,M,864,308-2869,GROVER,SC,29447,M,Y,50000,7.0,0,6600,3300
Wilburt,Syrzycki,M,260,332-6711,TOPEKA,IN,46571,M,Y,45000,3.4,0,2000,1000
Edwina,Glockner,M,248,516-7979,GRAND BLANC,MI,48439,M,N,70000,3.9,0,6200,0
Neli,Lanin,M,857,635-5783,SUTTON,MA,1590,M,N,90000,5.3,0,7150,0
Jurg,Widera,F,208,697-7685,MERIDIAN,ID,83642,M,Y,90000,7.8,0,6600,3300
Matrina,Hartroth,F,360,333-8269,TAHUYA,WA,98588,S,N,100000,0.0,0,0,0
Seijo,Carrigan,F,310,687-2005,SOUTH SAN FRANCISCO,CA,94083,S,N,100000,9.3,87,0,0
Imsong,Eves,F,520,518-4629,PHOENIX,AZ,85024,S,Y,20000,3.0249999,2100,0,2300
Atsuo,Badr,M,859,376-1790,MAPLE MOUNT,KY,42356,M,N,15000,2.6666667,0,40,0
Sophie,Blu,M,301,872-2817,CRAPO,MD,21626,M,Y,25000,4.75,0,4800,2400
Dines,Jurdjevic,F,505,394-3188,ABIQUIU,NM,87510,M,N,40000,5.3,0,6600,0
Olac,Agarawala,M,662,242-8714,CHUNKY,MS,39323,M,N,40000,5.0,0,12000,0
Monia,Maciel,F,412,313-7588,ORVISTON,PA,16864,M,Y,40000,3.07,0,0,0
Husam,Bergsten,M,973,115-2117,ASBURY,NJ,8802,M,N,25000,1.4788542,0,2000,0
Yongwon,Charissis,F,386,899-8173,SANFORD,FL,32773,S,N,5000,0.0,0,0,0
Kerttu,Seidmann,F,802,272-6038,NORTH MONTPELIER,VT,5666,S,Y,10000,3.6,3300,0,3300
Athomas,Bear,M,302,266-1198,WILMINGTON,DE,19803,M,N,35000,4.245455,0,220,0
Sorel,Maguire,F,918,763-3696,ADDINGTON,OK,73520,M,N,55000,6.25,0,2000,0
Achim,Pino,M,970,586-8770,LAKE GEORGE,CO,80827,S,N,75000,4.63,0,0,0
Geunbae,Seredynski,F,814,990-8703,WIND GAP,PA,18091,M,Y,80000,3.07,0,0,0
Yael,Ravindranathan,F,865,808-9116,SLAYDEN,TN,37165,M,N,75000,0.0,0,0,0
Rimli,Favero,F,907,448-1771,LEVELOCK,AK,99625,S,N,15000,0.0,0,0,0
Edison,Stroet,F,605,799-8667,ENNING,SD,57737,M,Y,55000,0.0,0,0,0
Flemming,Murro,F,650,544-2085,BERKELEY,CA,94705,M,N,90000,9.3,0,174,0
Barbee,Pollermann,F,320,619-5701,CAMBRIDGE,MN,55008,M,N,5000,5.35,0,6600,0
Carles,Ouchi,M,347,946-9552,MECKLENBURG,NY,14863,S,N,25000,4.0984755,0,0,0
Jermy,Pezzoli,F,708,653-1297,MOWEAQUA,IL,62550,S,N,50000,3.0,2000,0,0
Pramode,Parnes,F,540,221-2383,ALEXANDRIA,VA,22304,S,N,5000,2.5357144,900,0,0
Zhimming,Taimanov,F,612,900-1570,CLINTON,MN,56225,M,Y,90000,7.85,0,6600,3300
Pawan,Krauser,F,843,720-9753,MOUNT PLEASANT,SC,29465,M,Y,65000,7.0,0,6600,3300
Sissel,Richter,M,401,962-9486,COVENTRY,RI,2816,M,N,65000,0.0,0,0,0
Eyeun,Kaelbling,M,509,266-6653,BELLEVUE,WA,98015,M,Y,40000,0.0,0,0,0
Yungho,Calvin,M,503,885-8770,JORDAN VALLEY,OR,97910,M,N,95000,9.0,0,318,0
Celine,Kadobayashi,F,651,693-1050,HOFFMAN,MN,56339,S,N,25000,5.5895944,3300,0,0
Nectarios,Pistor,M,228,840-7680,PINOLA,MS,39149,S,Y,75000,5.0,6000,0,1500
Linda,Decleir,F,401,967-5362,PASCOAG,RI,2859,S,Y,45000,0.0,0,0,0
Hou,Sedobgo,F,918,913-1616,QUINTON,OK,74561,S,N,20000,6.25,1000,0,0
Edil,Bebjak,M,515,763-9250,PERSIA,IA,51563,S,Y,20000,3.2516527,40,0,40
Lucien,Brookman,M,603,448-4340,NEWTON JUNCTION,NH,3859,S,Y,15000,0.0,0,0,0
Gavriela,Rabejac,F,407,533-8625,SARASOTA,FL,34241,S,Y,100000,0.0,0,0,0
Dennis,Balsters,M,706,188-8148,SAVANNAH,GA,31408,S,N,90000,6.0,2700,0,0
Jamal,Olien,M,702,739-7935,RUTH,NV,89319,M,Y,50000,0.0,0,0,0
Tilak,Portinale,M,505,304-5926,GAMERCO,NM,87317,M,N,80000,5.3,0,6600,0
Wilsin,Doucet,F,304,357-4110,DELRAY,WV,26714,S,Y,70000,6.5,2000,0,2000
Anirvan,Machin,F,808,902-7824,HONOLULU,HI,96827,M,N,70000,8.25,0,2080,0
Francis,Chickermane,F,856,770-4642,SUCCASUNNA,NJ,7876,M,Y,40000,1.7154167,0,2000,1500
Hiralal,Gomatam,M,307,808-3371,KAYCEE,WY,82639,M,Y,40000,0.0,0,0,0
Barrett,Billard,F,307,405-1313,FORT LARAMIE,WY,82212,S,N,10000,0.0,0,0,0
Rana,Tomescu,M,701,269-2156,REGENT,ND,58650,M,Y,100000,2.914935,0,6600,3300
Gleb,Snedden,M,864,934-9661,SUMTER,SC,29150,S,N,65000,7.0,3300,0,0
Lutz,Zaimov,M,830,410-9117,HOUSTON,TX,77235,S,Y,10000,0.0,0,0,0
Jefry,Pose,F,574,683-7321,CHARLOTTESVILLE,IN,46117,S,Y,90000,3.4,1000,0,1000
Rhon,Theys,F,573,754-2482,DUTCHTOWN,MO,63745,S,N,60000,6.0,2100,0,0
Huu,Yemeni,F,801,121-5195,FERRON,UT,84523,S,Y,5000,7.0,2475,0,2475
Schahram,Pequeno,F,309,264-3992,CHICAGO,IL,60640,S,N,25000,3.0,2000,0,0
Alka,Meijer,M,505,888-4901,SAN CRISTOBAL,NM,87564,M,Y,30000,5.3,0,6600,3300
Noppanunt,Krinik,F,318,929-6259,SPRINGHILL,LA,71075,M,N,25000,6.0,0,9000,0
Woo,Hibbard,M,605,841-7315,WOONSOCKET,SD,57385,M,N,65000,0.0,0,0,0
Haleh,Higuchi,F,270,443-9508,SECO,KY,41849,M,N,30000,3.5,0,40,0
Chidanand,Pemmaraju,M,228,397-3045,THAXTON,MS,38871,S,N,10000,5.0,6000,0,0
Friedbert,Carrico,F,253,384-1420,CONNELL,WA,99326,M,N,20000,0.0,0,0,0
Jamel,Geraci,F,401,495-3841,WEST KINGSTON,RI,2892,S,N,25000,0.0,0,0,0
Arthur,Postmus,M,479,676-4974,RUSSELLVILLE,AR,72812,M,Y,30000,7.0,0,40,20
Hirohisa,Lunbeck,M,808,409-6745,VOLCANO,HI,96785,S,N,90000,8.25,1040,0,0
Seonghun,Simoni,M,404,806-9414,WESTON,GA,31832,M,Y,80000,6.0,0,5400,3000
Okan,Weishar,F,605,207-8947,VIBORG,SD,57070,S,Y,25000,0.0,0,0,0
Jorrge,Lienert,F,270,316-7835,HAMPTON,KY,42047,M,N,5000,2.1111112,0,40,0
Leiming,Masullo,F,918,283-2622,HOPETON,OK,73746,M,Y,75000,6.25,0,2000,1000
Ismaeil,Frisby,M,978,270-8194,MARION,MA,2738,M,Y,95000,5.3,0,7150,1000
Naoki,Strausfeld,F,731,481-4797,CHARLOTTE,TN,37036,M,N,100000,0.0,0,0,0
Zsolt,Forcheri,M,417,197-6054,LAREDO,MO,64652,M,Y,70000,6.0,0,4200,1200
